idle_capital,first_level,levels,tranche_weight,total_target_weight_per_stock,final_value,total_return,cagr,annualized_volatility,sharpe,max_drawdown,trade_count,buy_count,sell_count
QQQ,0.1,10%/20%/30%/40%,0.15,0.6,9.69216323585643,8.69216323585643,0.3528612230146029,0.3418672202288799,1.0581959851041614,-0.5669654282738112,142,86,56
cash,0.15,15%/25%/35%/45%,0.15,0.6,9.271315765599663,8.271315765599663,0.344893630506828,0.33368933662041683,1.0579167251236832,-0.553666294357946,117,72,45
cash,0.25,25%/35%/45%/55%,0.075,0.3,4.534606629259072,3.5346066292590717,0.22281070876088838,0.21267109254722857,1.0547722214690356,-0.43555228885111463,70,46,24
cash,0.2,20%/30%/40%/50%,0.1,0.4,6.84716037456549,5.84716037456549,0.2917340819913865,0.28180212531926463,1.051811942616209,-0.5226545983103906,87,57,30
cash,0.15,15%/25%/35%/45%,0.025,0.1,2.2047372517962973,1.2047372517962973,0.11093103313068653,0.10610027532186977,1.0477176030526987,-0.23602799325497825,154,103,51
cash,0.2,20%/30%/40%/50%,0.15,0.6,8.705734937183173,7.705734937183173,0.33367685561369864,0.3287279556552152,1.042935675133136,-0.5681854992074515,74,47,27
cash,0.15,15%/25%/35%/45%,0.1,0.4,6.992125814822522,5.992125814822522,0.2953400605760612,0.2897116584274313,1.0409088745736945,-0.5125316592954621,133,83,50
cash,0.2,20%/30%/40%/50%,0.05,0.2,3.743748188133618,2.743748188133618,0.19202192301467935,0.1858435220420236,1.040752191786996,-0.37739899572859126,103,71,32
cash,0.15,15%/25%/35%/45%,0.075,0.3,5.744918482441685,4.744918482441685,0.2619158487450044,0.26490140999463896,1.0132609616219013,-0.5270611811240647,143,93,50
cash,0.1,10%/20%/30%/40%,0.025,0.1,2.270554148207351,1.270554148207351,0.11528778237651816,0.11576669984488039,1.0034429655315478,-0.24269135546521803,205,139,66
